[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
9042 - 615 : 145
9620 - 616 : 10
10698 - 617 : 99
11306 - 618 : 30
6142 - 619 : 59
5429 - 620 : 210
10498 - 621 : 15
8350 - 622 : 20
7043 - 623 : 62
1977 - 624 : 22
2511 - 625 : 69
468 - 626 : 40
4841 - 627 : 124
6047 - 628 : 25
251 - 629 : 87
2544 - 630 : 58
13127 - 631 : 25
7929 - 632 : 18
11103 - 633 : 73
10007 - 634 : 20
8863 - 635 : 34
3053 - 636 : 50
10893 - 637 : 67
6192 - 638 : 78
3966 - 639 : 30
10389 - 640 : 32
8011 - 641 : 38
10251 - 642 : 12
6552 - 643 : 50
2838 - 644 : 82
12338 - 645 : 149
3408 - 646 : 13
3966 - 647 : 12
9864 - 648 : 25
10290 - 649 : 19
1952 - 650 : 36
388 - 651 : 26
6199 - 652 : 29
6440 - 653 : 28
10333 - 654 : 44
6674 - 655 : 91
12367 - 656 : 47
11129 - 657 : 65
925 - 658 : 108
8392 - 659 : 63
10463 - 660 : 16
8068 - 661 : 65
8761 - 662 : 49
8052 - 663 : 32
4000 - 664 : 60
13160 - 665 : 70
6667 - 666 : 129
4059 - 667 : 78
9233 - 668 : 76
11976 - 669 : 211
10541 - 670 : 98
6276 - 671 : 11
2220 - 672 : 217
9839 - 673 : 110
3653 - 674 : 10
11310 - 675 : 189
1992 - 676 : 21
11565 - 677 : 111
9543 - 678 : 22
3269 - 679 : 14
10421 - 680 : 38
4661 - 681 : 52
9479 - 682 : 39
654 - 683 : 10
10430 - 684 : 50
2444 - 685 : 32
10030 - 686 : 11
10520 - 687 : 85
9740 - 688 : 41
2794 - 689 : 17
9436 - 690 : 92
1284 - 691 : 29
4693 - 692 : 76
9392 - 693 : 23
643 - 694 : 49
11414 - 695 : 58
2126 - 696 : 108
13055 - 697 : 19
8930 - 698 : 120
2512 - 699 : 20
7949 - 700 : 22
803 - 701 : 179
8554 - 702 : 51
6734 - 703 : 32
11759 - 704 : 64
12700 - 705 : 44
10665 - 706 : 42
1914 - 707 : 24
10680 - 708 : 50
12645 - 709 : 241
612 - 710 : 57
2224 - 711 : 31
1680 - 712 : 64
2937 - 713 : 28
2032 - 714 : 21
10530 - 715 : 50
12659 - 716 : 96
5199 - 717 : 50
9677 - 718 : 14
2237 - 719 : 22
